Manufacturer,Total_Sales_2015_2024,Market_Share_Percent
PATS MOTOR CORP,210,0.004750160770322262
ZOHAN TRADERS AND BIG METRO,210,0.004750160770322262
PORSCHE AG GERMANY,210,0.004750160770322262
MOMU AUTOMOTIVE,210,0.004750160770322262
HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,210,0.004750160770322262
SARAVANA ENGINEERING WORKS,208,0.004704921143938241
BIJNOR ENTERPRISES,208,0.004704921143938241
SUN INDUSTRIES,207,0.00468230133074623
GALVANIC AUTO PVT LTD,207,0.00468230133074623
ALTIUS TECHNOLOGIES,206,0.00465968151755422
TRINITY ELECTRIC VEHICLES PVT LTD,201,0.004546582451594165
PANTHER ELECTRIC VEHICLES,201,0.004546582451594165
BHADAURIA ENTERPRISES,200,0.004523962638402154
SAINIK CYCLE MART,196,0.004433483385634112
ECO DYNAAMIC EQUIPMENTS,195,0.004410863572442101
LIONIZE AUTOMOBILE PVT LTD,194,0.00438824375925009
YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),191,0.004320384319674058
SPEEDWAYS ELECTRIC,190,0.004297764506482046
ALLENTTI MOTORS PVT LTD,190,0.004297764506482046
GOODENERGY INDIA PVT LTD,188,0.0042525248800980246
A K AUTTO ELECTRICAL,182,0.00411680600094596
YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),181,0.00409418618775395
GREEN WHEELZ (INDIA),180,0.004071566374561939
CYRUS AUTO INDUSTRIES PVT LTD,180,0.004071566374561939
INVVIGORS INDIA,178,0.004026326748177917
DIVANSHU AUTOMOBILES LIMITED,176,0.003981087121793896
CHARUVIKRAM AUTOMOBILE PVT LTD,174,0.003935847495409875
VICTORIA E VEHICLES PVT. LTD,173,0.003913227682217864
GREENFIT INDUSTRIES LLP,172,0.003890607869025853
ELEPHANTA INDUSTRIES PVT LTD,172,0.003890607869025853
KALIKA VAHAN PVT LTD,170,0.003845368242641831
ARD EXIM,170,0.003845368242641831
GOODWILL HI PRECISION WORKS PVT LTD,169,0.0038227484294498207
FIADO INDUSTRIES PVT LTD,169,0.0038227484294498207
KIRAN AUTOMOBILE INDUSTRY,168,0.0038001286162578102
WHITE CARBON MOTORS PVT LTD,165,0.003732269176681777
A.R. MOTOR,164,0.0037096493634897667
C M OVERSEAS,164,0.0037096493634897667
GAURA ELECTRIC VEHICLES PVT LTD,163,0.0036870295502977562
RICHFORD ALLIANZ PVT LTD,162,0.003664409737105745
GREEN SHUTTLE TECHNOLOGY PVT LTD,162,0.003664409737105745
SRIVARU MOTORS PVT LTD,161,0.0036417899239137345
HERCULES CRANE PVT.LTD.,161,0.0036417899239137345
TRUPART AUTOMOTIVE INDIA PVT LTD,157,0.0035513106711456913
YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),157,0.0035513106711456913
SETHJI INDUSTRIES,154,0.003483451231569659
ELECTRA INTERNATIONAL,154,0.003483451231569659
JAY ACE TECHNOLOGIES LTD,153,0.0034608314183776478
D S INDUSTRIES,151,0.003415591791993627
KRISHNA INDUSTRIES,151,0.003415591791993627
CITADEL ENTERPRISES(OPC) PVT LTD,150,0.0033929719788016155
TSR TRADE COM,148,0.0033477323524175946
VINCI INDUSTRIAL CORPORATION,147,0.0033251125392255833
PANSEN ENGINEERING INDIA PVT LTD,145,0.0032798729128415615
SKYY RIDER ELECTRIC PRIVATE LIMITED,144,0.003257253099649551
VAHAK FUTURE SOLUTIONS LLP,141,0.003189393660073519
RP MOTORS,139,0.003144154033689497
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),139,0.003144154033689497
PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,139,0.003144154033689497
ANJALI AUTO COMPONENTS,138,0.0031215342204974866
DYS IMPEX PVT LTD,138,0.0031215342204974866
MOTOR & GENERAL SALES PVT LTD,137,0.003098914407305476
VICTOR AGRO INDUSTRIES,137,0.003098914407305476
SEALION AUTOMOBILE PVT LTD,134,0.0030310549677294435
GOGORO INDIA PVT LTD,133,0.003008435154537433
MIRAKLE 5 AUTOMOBILES PVT LTD,132,0.002985815341345422
SHAILENDRA AUTOS PVT LTD,131,0.0029631955281534113
ZESAR MOTORS PVT LTD,130,0.0029405757149614004
JAGUAR LAND ROVER INDIA LIMITED,129,0.00291795590176939
RAJIV RAJ VEHICLES PVT LTD,127,0.002872716275385368
ATUMOBILE PVT LTD,127,0.002872716275385368
LUCKY INDUSTRIES,126,0.0028500964621933573
NGAGE WHEEL PVT LTD,124,0.0028048568358093355
K. V. INDUSTRIES,124,0.0028048568358093355
SUNANDA GREENTECH PVT LTD,123,0.002782237022617325
XXPLORE AUTOMATIVE PVT LTD,122,0.002759617209425314
BLIX CYCLES AND E-VEHICLES PVT LTD,122,0.002759617209425314
KPT MOTORS,122,0.002759617209425314
G WILLIAMS FABRICATIONS LTD,120,0.002714377583041293
SIX SENSES AUTOMOTIVE PVT LTD,120,0.002714377583041293
RASIWASIA RASAYAN PVT LTD,120,0.002714377583041293
TUNWAL E MOTORS PVT LTD,119,0.002691757769849282
CELLETRON MOTOR WORKS,119,0.002691757769849282
ALTIUS EV TECH PVT LTD,118,0.002669137956657271
GREENETICS INDUSTRIES PVT LTD,117,0.00264651814346526
INDIA YAMAHA MOTOR PVT LTD,116,0.0026238983302732497
VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,115,0.0026012785170812388
YUVRAJ INTERNATIONAL,115,0.0026012785170812388
SPEED AUTO TECH,115,0.0026012785170812388
WASAN E-MOBILITY SOLUTIONS PVT LTD,113,0.0025560388906972174
PRAJJWAL MAHAJAN TRADERS,112,0.0025334190775052065
PRAGYA AUTOMOBILE PVT LTD,112,0.0025334190775052065
S B TRADERS,112,0.0025334190775052065
RDS INDUSTRIES,110,0.002488179451121185
JAYEM AUTOMOTIVES PVT LTD,110,0.002488179451121185
WOX COOLERS PVT LTD,109,0.0024655596379291743
SBTEK E MOTO PVT LTD,109,0.0024655596379291743
QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),109,0.0024655596379291743
SUPER POWER MOTORS,109,0.0024655596379291743
HERO ECO VEHICLES PVT LTD,108,0.0024429398247371634
EVAGE AUTOMOTIVE PVT LTD,107,0.002420320011545153
VVA AUTO INDUSTRIES PVT LTD,107,0.002420320011545153
XPLORE AUTOMOTIVE PVT LTD,107,0.002420320011545153
ERISHA E MOBILITY PVT LTD,105,0.002375080385161131
TYST DRIVE INDIA PVT LTD,104,0.0023524605719691203
YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),103,0.00232984075877711
MALAK TECHNO PVT LTD,102,0.002307220945585099
HITECH INDUSTRIES,102,0.002307220945585099
SVS ENTERPRISES,101,0.002284601132393088
PRESTANTIA CREATIONS PVT LTD,101,0.002284601132393088
GAYAM MOTOR WORKS PRIVATE LIMITED,101,0.002284601132393088
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),100,0.002261981319201077
DEVAM ELECTRIC VEHICLES PVT LTD,99,0.0022393615060090663
NEUON MOTORS LLP,99,0.0022393615060090663
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),98,0.002216741692817056
ROYAL-ENFIELD (UNIT OF EICHER LTD),98,0.002216741692817056
DEEP DRAWN TECHNOLOGIES,98,0.002216741692817056
SHREYA ENGINEERS,97,0.002194121879625045
IZANAU ELECTRIC LLP,96,0.002171502066433034
U V MOTORS INDIA PVT LTD,95,0.002148882253241023
TOYOTA KIRLOSKAR MOTOR PVT LTD,94,0.0021262624400490123
MICROCON I2I PVT LTD,94,0.0021262624400490123
WUXI SAIGE (IMPORTER: DM GREEN ENERGY),93,0.002103642626857002
ALBEDO VISION PVT LTD,93,0.002103642626857002
PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,93,0.002103642626857002
KAKKAR ELECTRIC AUTO PVT LTD,93,0.002103642626857002
BAJAJ IMPLEMENTS PVT LTD,91,0.00205840300047298
RACCOON MOTORS PVT LTD,89,0.0020131633740889587
VGLAN BUILDCON PRIVATE LIMITED,89,0.0020131633740889587
AVON CYCLE LTD INDIA,89,0.0020131633740889587
CREATIVE ENGINEERINGS,88,0.001990543560896948
MALHOTRA  VEHICLE MANUFACTURING PVT LTD,88,0.001990543560896948
LAXMI E-RICKSHAW COMPANY,87,0.0019679237477049374
RIYA ENTERPRISE,85,0.0019226841213209156
SWITCH MOBILITY AUTOMOTIVE LTD,85,0.0019226841213209156
GREENTECH AUTO LLP,83,0.0018774444949368942
SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,83,0.0018774444949368942
DHRITI ENTERPRISES,81,0.0018322048685528725
KANIFA AUTOMOTIVE PVT LTD,81,0.0018322048685528725
PURVA UDYOG PVT LTD,80,0.001809585055360862
TARA MAA MACHINERY,80,0.001809585055360862
SF2 E VEHICLE PVT LTD,79,0.0017869652421688511
HERO HONDA MOTORS  LTD,79,0.0017869652421688511
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,79,0.0017869652421688511
ISUKII GREENS PVT LTD,79,0.0017869652421688511
BAGHWAN RIKSHAW UDYOG,78,0.0017643454289768402
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),78,0.0017643454289768402
SANCHAL AUTOMOBILES PVT LTD,78,0.0017643454289768402
PASHUPATI VEHICLES PVT LTD,77,0.0017417256157848296
VOLMAC ENGINEERING PVT LTD,77,0.0017417256157848296
YC ELECTRIC VEHICLE PVT LTD,77,0.0017417256157848296
HANUMAN UDYOG,76,0.0017191058025928187
NB TURNED  COMPONENTS PVT LTD,76,0.0017191058025928187
PACE AGRO PVT LTD,76,0.0017191058025928187
ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),75,0.0016964859894008078
SUZUKI MOTORCYCLE INDIA PVT LTD,74,0.0016738661762087973
HITECH  MECHANICAL WORKS,73,0.0016512463630167864
LML LIMITED,73,0.0016512463630167864
SHIV ENTERPRISES,72,0.0016286265498247755
HOUSTAN INNOVATION LLP,72,0.0016286265498247755
BESTWAY BANARASH,72,0.0016286265498247755
CAPARO AUTOTECH LTD,71,0.0016060067366327647
NEELAM CYCLE,71,0.0016060067366327647
GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),71,0.0016060067366327647
OLYMPUS INDUSTRIES PVT LTD,70,0.0015833869234407542
ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),70,0.0015833869234407542
ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,69,0.0015607671102487433
ROANSOME MOTORS,69,0.0015607671102487433
SWASTIK,68,0.0015381472970567324
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,68,0.0015381472970567324
NEW CHAWLA INDUSTRIES,67,0.0015155274838647217
SUNARIYA MOTORS PVT LTD,67,0.0015155274838647217
WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),67,0.0015155274838647217
OM PACKAGING,67,0.0015155274838647217
A.J ENTERPRISES,66,0.001492907670672711
SHIVA ENTERPRISES,65,0.0014702878574807002
EVBHARAT RANGE PRIVATE LIMITED,64,0.0014476680442886895
EEVEE ENGINEERING PVT LTD,64,0.0014476680442886895
MARKUS,64,0.0014476680442886895
VE COMMERCIAL VEHICLES LTD,64,0.0014476680442886895
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),63,0.0014250482310966786
M2GO ELECTRIC VEHICLE PVT LTD,63,0.0014250482310966786
LAWAT MOTORS,63,0.0014250482310966786
WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),63,0.0014250482310966786
AADITYA GARBAGE PRODUCTS PVT LTD,62,0.0014024284179046677
SIARSA ELECTRICALS PVT LTD,62,0.0014024284179046677
NARAINDASS AND SONS,62,0.0014024284179046677
GOOD ENERGY INDIA,61,0.001379808604712657
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),60,0.0013571887915206464
ABZO MOTORS PVT LTD,60,0.0013571887915206464
HAITEK AUTOMOTIVE PVT LTD,60,0.0013571887915206464
PUNJAB BODY BUILDERS,59,0.0013345689783286355
NIBE MOTORS PVT LTD,58,0.0013119491651366248
YOUYAKU ELECTRIC (IMPORTER:ONZO EV),57,0.001289329351944614
KRANTI AUTOMOBILES LTD,57,0.001289329351944614
M/S VISHNU CLEAN ENERGY VEHICLES LLP,56,0.0012667095387526033
SUPERECO AUTOMOTIVE CO LLP,56,0.0012667095387526033
DHAR IN PVT LTD,55,0.0012440897255605926
ZHONGHUALONG (IMPORTER: POWORO PVT LTD),54,0.0012214699123685817
SUCCESSPATH MARKETING PVT LTD,53,0.001198850099176571
YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),53,0.001198850099176571
VSL INDUSTRIES,52,0.0011762302859845601
NAND ELECTRIC MOTOR VEHICLE PVT LTD,52,0.0011762302859845601
TWASHTRE AUTOMOTIVE PVT LTD,52,0.0011762302859845601
JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),52,0.0011762302859845601
BRIGHT METAL WORKS,52,0.0011762302859845601
REVA ELECTRIC CAR CO,51,0.0011536104727925495
WUXI TENGHUI (IMPORTER: FEZORA INDIA),51,0.0011536104727925495
FITWEL MOBILITY PVT LTD,51,0.0011536104727925495
LI-IONS ELEKTRIK SOLUTIONS PVT LTD,50,0.0011309906596005386
SUPREME SALES AGENCY,50,0.0011309906596005386
MULTI DIMENSIONAL SOLUTIONS,50,0.0011309906596005386
PINNACLE MOBILITY SOLUTIONS PVT LTD,49,0.001108370846408528
MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),49,0.001108370846408528
SHAMMI ELECTRONICS,49,0.001108370846408528
JIANGSU AIMA (IMPORTER: FUTURE EV),48,0.001085751033216517
WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),48,0.001085751033216517
VGLAN BUILDCON PVT LTD,48,0.001085751033216517
DIVYA AUTOMOBILES,48,0.001085751033216517
KPT INDUSTRIES LTD,47,0.0010631312200245061
SAMEER ENGINEERING,47,0.0010631312200245061
STAR INDUSTRIES,47,0.0010631312200245061
DESMOTO ELECTRICS PVT LTD,47,0.0010631312200245061
JIANGSU DALONG (IMPORTER: SABOO TOR),46,0.0010405114068324955
JCB INDIA LTD,46,0.0010405114068324955
AARGEE ELECTRIC,46,0.0010405114068324955
WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),46,0.0010405114068324955
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),45,0.0010178915936404848
LALA G E RICKSHAW AND SPARE PARTS,45,0.0010178915936404848
SHERA ELECTRICAL AUTO PVT LTD,45,0.0010178915936404848
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),45,0.0010178915936404848
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),44,0.000995271780448474
WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),43,0.0009726519672564632
HITECH ELECTRIC AUTO CO,43,0.0009726519672564632
"""VOLVO GROUP INDIA PVT LTD""",43,0.0009726519672564632
SAGAR FABRICATIONS,43,0.0009726519672564632
JINDAL ELECTRIC VEHICLES,43,0.0009726519672564632
YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),42,0.0009500321540644526
SHRI RAM AUTOMOBILES,42,0.0009500321540644526
BSERAIL ENGINEERING PVT LTD,41,0.0009274123408724417
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),41,0.0009274123408724417
JAL ENTERPRISES,40,0.000904792527680431
GODREJ AND BOYCE MFG CO LTD,40,0.000904792527680431
GOOD WILL HI PRECISION,40,0.000904792527680431
BABA E RICKSHAW & C BATTERIES,39,0.0008821727144884201
GAURI AUTO INDIA PVT. LTD,39,0.0008821727144884201
ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),39,0.0008821727144884201
ORIGINAL FUEL SYSTEM PVT LTD,38,0.0008595529012964093
NANNHRAY AGIRCULTURE WORKS,37,0.0008369330881043987
SWADESHI INDUSTRIES,37,0.0008369330881043987
GRG SMART VEHICLE PVT LTD,37,0.0008369330881043987
CHANDAKE-AUTOMOBILES LLP,37,0.0008369330881043987
WUXI TENGHUI (IMPORTER: JOZHI SERVICES),36,0.0008143132749123878
YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),36,0.0008143132749123878
V V A ELECTRIC VEHICLE,36,0.0008143132749123878
MAHINDRA & MAHINDRA LIMITED (TRACTOR),36,0.0008143132749123878
LAKSHYA MOTORS,35,0.0007916934617203771
DONGMA VEHICLE (IMPORTER: MERCURY METALS),35,0.0007916934617203771
OLECTRA GREENTECH LTD,35,0.0007916934617203771
WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),35,0.0007916934617203771
SHIVGANGA ECOGREEN LLP,35,0.0007916934617203771
KALINGA VENTURES IND P,35,0.0007916934617203771
EBUZZ MOBILITY LLP,34,0.0007690736485283662
G. M. VEHICLE INDUSTRIES,34,0.0007690736485283662
REFLEX CONTROL SYSTEM PVT,34,0.0007690736485283662
GOBIND INDUSTRIES PVT LTD,34,0.0007690736485283662
ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,34,0.0007690736485283662
SUGANJI RARA ELECTRIC VEHICLE PVT LTD,34,0.0007690736485283662
KANHA ELECTRIC VEHICLES,33,0.0007464538353363555
VIJEX STEEL FABRICATION,33,0.0007464538353363555
PUNEET OVERSEAS  INC,33,0.0007464538353363555
WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),32,0.0007238340221443448
VOLTAIC INDUSTRIES PVT LTD,32,0.0007238340221443448
SWARNCHAKRA AUTOMOBILES PVT LTD,31,0.0007012142089523339
WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),31,0.0007012142089523339
CAPCO INDUSTRIES PVT LTD,31,0.0007012142089523339
QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),31,0.0007012142089523339
MARUTI SUZUKI INDIA LTD,30,0.0006785943957603232
SHRI LAKSHMI LATHE WORKS,30,0.0006785943957603232
DSR EV MOBILITY PVT LTD,30,0.0006785943957603232
APARNA AGRICO,30,0.0006785943957603232
SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,29,0.0006559745825683124
ASHWA ELECTRIC,29,0.0006559745825683124
M/S. DAVE EXIM (P) LTD.,29,0.0006559745825683124
SAIFIAN SOLAR PVT LTD,29,0.0006559745825683124
PASHUPATI NATH MOTORS PVT LTD,29,0.0006559745825683124
SURYA INTERNATIONAL,29,0.0006559745825683124
SHINE METAL UDYOG PVT LTD,28,0.0006333547693763016
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),28,0.0006333547693763016
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),28,0.0006333547693763016
NINGBO SANJIANG (IMPORTER: VABRO EVTECH),28,0.0006333547693763016
SAKSHAM TECH AUTO,28,0.0006333547693763016
BALAJI TRADING COMPANY,28,0.0006333547693763016
PASHUPATI VEHICLE PVT. LTD.,27,0.0006107349561842909
SKS AUTOMOBILES (I) PVT LTD,27,0.0006107349561842909
JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),27,0.0006107349561842909
GO GREEN EOT (ENERGY OF THINGS) PVT LTD,27,0.0006107349561842909
VEHICLE FACTORY JABALPUR,27,0.0006107349561842909
WUXI DONGMA (IMPORTER: DYNAM PRECISION),27,0.0006107349561842909
WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),26,0.0005881151429922801
SUNSHINE TECHNOLOGIES,26,0.0005881151429922801
NEWTON INDIA INDUSTRIES PVT LTD,26,0.0005881151429922801
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),26,0.0005881151429922801
JOYRAM STEEL FABRICATION WORKS,26,0.0005881151429922801
JAYA AUTOMOTIVES PVT LTD,26,0.0005881151429922801
SPEEDWAYS ELECTRIC PVT LTD,25,0.0005654953298002693
CARREE YUNUS VEHICLE PVT LTD,25,0.0005654953298002693
DURABLE FLANGES PVT LTD,25,0.0005654953298002693
ALL TERRAIN CRANE,25,0.0005654953298002693
MAHINDRA NAVISTAR  AUTOMOTIVES LTD,25,0.0005654953298002693
YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),24,0.0005428755166082585
WARIVO MOTOR INDIA PVT LTD,24,0.0005428755166082585
SAS MOTORS LTD.,24,0.0005428755166082585
WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),24,0.0005428755166082585
BULL MACHINES PVT LTD,24,0.0005428755166082585
MARINE NAVAIDS & SOLAR AUTO PVT LTD,24,0.0005428755166082585
HBSS E MOBILITY PVT LTD,24,0.0005428755166082585
KNIGHT QUEEN INDUSTRIES PV LTD,24,0.0005428755166082585
YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),23,0.0005202557034162477
ADITYA AGRO INDUSTRIES,23,0.0005202557034162477
ATOMEX E-MOTORS INDIA PVT LTD,23,0.0005202557034162477
SML ISUZU LTD,23,0.0005202557034162477
EVOLUTION AUTOTECH,23,0.0005202557034162477
SITYOG ENGINEERING PVT LTD,23,0.0005202557034162477
CHIRAG ENTERPRISES,23,0.0005202557034162477
PRABHA AUTOMOTIVE ENGINEERS PVT LTD,23,0.0005202557034162477
TEREX CORPORATION,22,0.000497635890224237
VEANCO AUTOMOTIVES PVT LTD,22,0.000497635890224237
RAMA INDUSTRIES,22,0.000497635890224237
NANYA AIRCONN PVT LTD,22,0.000497635890224237
MAA LUXMI E-VEHICLES PVT. LTD.,22,0.000497635890224237
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),21,0.0004750160770322263
ZBEE INDIA PVT LTD,21,0.0004750160770322263
LOG 9 MATERIALS SCIENTIFIC PVT LTD,21,0.0004750160770322263
SAURYAA SHARYO CORPORATION,21,0.0004750160770322263
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),21,0.0004750160770322263
MAHINDRA TWO WHEELERS LTD,21,0.0004750160770322263
ARIHANT ENTERPRISES,20,0.0004523962638402155
TAO POWER PRIVATE LIMITED,20,0.0004523962638402155
DUKEMOTO MOTORS PVT LTD,20,0.0004523962638402155
FUJIYAMA POWER INFRA PVT. LTD.,20,0.0004523962638402155
RENAULT INDIA PVT LTD,20,0.0004523962638402155
SHRI SHIVSHANKAR ENTERPRISES,19,0.00042977645064820467
EKO VEHICLE PRIVATE LIMITED,19,0.00042977645064820467
KARNATAKA SCOOTERS LTD,19,0.00042977645064820467
DIWA GREEN TECHNOLOGY PVT LTD,19,0.00042977645064820467
"MAYUR ENTERPRISES,BARIPADA",19,0.00042977645064820467
SHUBHAM MANUFACTURER,19,0.00042977645064820467
VISHWARUP ENTERPRISE,18,0.0004071566374561939
TRUZ INDUSTRIES,18,0.0004071566374561939
THE COMMERCIAL MOTORS PVT LTD,18,0.0004071566374561939
ATR TECHNOSALES PRIVATE LIMITED,18,0.0004071566374561939
INDUS ELECTROTHERM INDIA LTD,18,0.0004071566374561939
SHRI ABIRAMI TRAILERS,18,0.0004071566374561939
ADAPT MOTORS PVT LTD,18,0.0004071566374561939
SMAP VEHICLES (IMPORTER: ELEGO MOTORS),17,0.0003845368242641831
USHASONS AUTO COMPONENTS,17,0.0003845368242641831
WUXI SAIGE (IMPORTER: ELECTRO-TECH),17,0.0003845368242641831
MILLENNIAL MOTORS LLP,17,0.0003845368242641831
JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),17,0.0003845368242641831
MUNDE MECHANICAL WORKS,17,0.0003845368242641831
KNIGHT QUEEN INDUSTRIES PVT LTD,17,0.0003845368242641831
SCOOTERS INDIA LTD,17,0.0003845368242641831
LEOPAN MOTORS PRIVATE LIMITED,17,0.0003845368242641831
M K BROTHERS,17,0.0003845368242641831
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),17,0.0003845368242641831
M/S JASRAJ AUTO AGENCY,17,0.0003845368242641831
KRANTI INTERNATIONAL,16,0.0003619170110721724
WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),16,0.0003619170110721724
GURUKIRPA MOTORS,16,0.0003619170110721724
RD AND CO,16,0.0003619170110721724
AAKK AUTO PVT LTD,16,0.0003619170110721724
KION INDIA PVT LTD,15,0.0003392971978801616
SEEKA E MOTORS PVT LTD,15,0.0003392971978801616
ENIGMA AUTOMOBILES PVT LTD,15,0.0003392971978801616
LAKSHMI AUTO TRADERS,15,0.0003392971978801616
SUN MOTORS,15,0.0003392971978801616
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),15,0.0003392971978801616
BILAL TRAILORS,15,0.0003392971978801616
INTERNATIONAL TRACTORS LIMITED,15,0.0003392971978801616
MAN TRUCKS INDIA PVT. LTD.,14,0.0003166773846881508
RASANDIK MOTORS PVT LTD,14,0.0003166773846881508
MOTOVOLT MOBILITY PVT LTD,14,0.0003166773846881508
WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),14,0.0003166773846881508
WUXI SAIGE (IMPORTER: NGAGE IMPEX),13,0.00029405757149614004
JIANGSU SUNHOU (IMPORTER: SABOO TOR),13,0.00029405757149614004
EXTRAMILE GAS TECH,13,0.00029405757149614004
YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),13,0.00029405757149614004
OM. INDUSTRIES,13,0.00029405757149614004
UNIC,13,0.00029405757149614004
RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,12,0.00027143775830412926
KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,12,0.00027143775830412926
MACNEILL ENGG LTD,12,0.00027143775830412926
LOCAL TRAILER MANUFACTURER,12,0.00027143775830412926
GREEN WORLD MOTORS PVT LTD,12,0.00027143775830412926
ACTION CONSTRUCTION EQUIPMENT LTD.,12,0.00027143775830412926
VINAYAK INDUSTRIES,11,0.0002488179451121185
KRISHNA ENGINEERING,11,0.0002488179451121185
GEO ALLIANCE,11,0.0002488179451121185
NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,11,0.0002488179451121185
S.S.AGRO TECH,11,0.0002488179451121185
GURJEET AGRO INDUSTRIES,11,0.0002488179451121185
DEVAM ELECTRIC VEH P L,11,0.0002488179451121185
LIUGONG INDIA PVT. LTD,11,0.0002488179451121185
ANTONY TRAILORS,11,0.0002488179451121185
CHANGZHOU YEFEND VEHICLE CO,11,0.0002488179451121185
MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,11,0.0002488179451121185
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),11,0.0002488179451121185
SANT ENGG WORKS,11,0.0002488179451121185
A.K.AUTO ELECTRICAL,10,0.00022619813192010775
GURDEEP ENGINEERING WORKS,10,0.00022619813192010775
H. D. AUTOMOTIVES,10,0.00022619813192010775
PREET TRACTORS PVT. LTD.,10,0.00022619813192010775
RACHANACREATIONS AUTO PVT LTD,10,0.00022619813192010775
HOMFEEL VEGH AUTOMOBILES PVT LTD,10,0.00022619813192010775
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),10,0.00022619813192010775
EICHER TRACTORS,10,0.00022619813192010775
SHRIRAM ASTRAL MOTOR CO,10,0.00022619813192010775
EYUG AUTOMOBILE PVT LTD,10,0.00022619813192010775
GENERAL AGENCIES(KOLKATA) PVT LTD,10,0.00022619813192010775
ADITYA ENTERPRISES,10,0.00022619813192010775
YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),10,0.00022619813192010775
WUXI TENGHUI (IMPORTER: JAIDKA POWER),9,0.00020357831872809694
WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),9,0.00020357831872809694
TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,9,0.00020357831872809694
