Maker,Total_Sales_2015_2024
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),60
ABZO MOTORS PVT LTD,60
HAITEK AUTOMOTIVE PVT LTD,60
PUNJAB BODY BUILDERS,59
NIBE MOTORS PVT LTD,58
YOUYAKU ELECTRIC (IMPORTER:ONZO EV),57
KRANTI AUTOMOBILES LTD,57
M/S VISHNU CLEAN ENERGY VEHICLES LLP,56
SUPERECO AUTOMOTIVE CO LLP,56
DHAR IN PVT LTD,55
ZHONGHUALONG (IMPORTER: POWORO PVT LTD),54
SUCCESSPATH MARKETING PVT LTD,53
YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),53
VSL INDUSTRIES,52
NAND ELECTRIC MOTOR VEHICLE PVT LTD,52
TWASHTRE AUTOMOTIVE PVT LTD,52
JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),52
BRIGHT METAL WORKS,52
REVA ELECTRIC CAR CO,51
WUXI TENGHUI (IMPORTER: FEZORA INDIA),51
FITWEL MOBILITY PVT LTD,51
LI-IONS ELEKTRIK SOLUTIONS PVT LTD,50
SUPREME SALES AGENCY,50
MULTI DIMENSIONAL SOLUTIONS,50
PINNACLE MOBILITY SOLUTIONS PVT LTD,49
MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),49
SHAMMI ELECTRONICS,49
JIANGSU AIMA (IMPORTER: FUTURE EV),48
WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),48
VGLAN BUILDCON PVT LTD,48
DIVYA AUTOMOBILES,48
KPT INDUSTRIES LTD,47
SAMEER ENGINEERING,47
STAR INDUSTRIES,47
DESMOTO ELECTRICS PVT LTD,47
JIANGSU DALONG (IMPORTER: SABOO TOR),46
JCB INDIA LTD,46
AARGEE ELECTRIC,46
WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),46
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),45
LALA G E RICKSHAW AND SPARE PARTS,45
SHERA ELECTRICAL AUTO PVT LTD,45
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),45
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),44
WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),43
HITECH ELECTRIC AUTO CO,43
"""VOLVO GROUP INDIA PVT LTD""",43
SAGAR FABRICATIONS,43
JINDAL ELECTRIC VEHICLES,43
YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),42
SHRI RAM AUTOMOBILES,42
BSERAIL ENGINEERING PVT LTD,41
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),41
JAL ENTERPRISES,40
GODREJ AND BOYCE MFG CO LTD,40
GOOD WILL HI PRECISION,40
BABA E RICKSHAW & C BATTERIES,39
GAURI AUTO INDIA PVT. LTD,39
ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),39
ORIGINAL FUEL SYSTEM PVT LTD,38
NANNHRAY AGIRCULTURE WORKS,37
SWADESHI INDUSTRIES,37
GRG SMART VEHICLE PVT LTD,37
CHANDAKE-AUTOMOBILES LLP,37
WUXI TENGHUI (IMPORTER: JOZHI SERVICES),36
YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),36
V V A ELECTRIC VEHICLE,36
MAHINDRA & MAHINDRA LIMITED (TRACTOR),36
LAKSHYA MOTORS,35
DONGMA VEHICLE (IMPORTER: MERCURY METALS),35
OLECTRA GREENTECH LTD,35
WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),35
SHIVGANGA ECOGREEN LLP,35
KALINGA VENTURES IND P,35
EBUZZ MOBILITY LLP,34
G. M. VEHICLE INDUSTRIES,34
REFLEX CONTROL SYSTEM PVT,34
GOBIND INDUSTRIES PVT LTD,34
ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,34
SUGANJI RARA ELECTRIC VEHICLE PVT LTD,34
KANHA ELECTRIC VEHICLES,33
VIJEX STEEL FABRICATION,33
PUNEET OVERSEAS  INC,33
WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),32
VOLTAIC INDUSTRIES PVT LTD,32
SWARNCHAKRA AUTOMOBILES PVT LTD,31
WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),31
CAPCO INDUSTRIES PVT LTD,31
QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),31
MARUTI SUZUKI INDIA LTD,30
SHRI LAKSHMI LATHE WORKS,30
DSR EV MOBILITY PVT LTD,30
APARNA AGRICO,30
SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,29
ASHWA ELECTRIC,29
M/S. DAVE EXIM (P) LTD.,29
SAIFIAN SOLAR PVT LTD,29
PASHUPATI NATH MOTORS PVT LTD,29
SURYA INTERNATIONAL,29
SHINE METAL UDYOG PVT LTD,28
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),28
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),28
NINGBO SANJIANG (IMPORTER: VABRO EVTECH),28
SAKSHAM TECH AUTO,28
BALAJI TRADING COMPANY,28
PASHUPATI VEHICLE PVT. LTD.,27
SKS AUTOMOBILES (I) PVT LTD,27
JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),27
GO GREEN EOT (ENERGY OF THINGS) PVT LTD,27
VEHICLE FACTORY JABALPUR,27
WUXI DONGMA (IMPORTER: DYNAM PRECISION),27
WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),26
SUNSHINE TECHNOLOGIES,26
NEWTON INDIA INDUSTRIES PVT LTD,26
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),26
JOYRAM STEEL FABRICATION WORKS,26
JAYA AUTOMOTIVES PVT LTD,26
SPEEDWAYS ELECTRIC PVT LTD,25
CARREE YUNUS VEHICLE PVT LTD,25
DURABLE FLANGES PVT LTD,25
ALL TERRAIN CRANE,25
MAHINDRA NAVISTAR  AUTOMOTIVES LTD,25
YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),24
WARIVO MOTOR INDIA PVT LTD,24
SAS MOTORS LTD.,24
WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),24
BULL MACHINES PVT LTD,24
MARINE NAVAIDS & SOLAR AUTO PVT LTD,24
HBSS E MOBILITY PVT LTD,24
KNIGHT QUEEN INDUSTRIES PV LTD,24
YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),23
ADITYA AGRO INDUSTRIES,23
ATOMEX E-MOTORS INDIA PVT LTD,23
SML ISUZU LTD,23
EVOLUTION AUTOTECH,23
SITYOG ENGINEERING PVT LTD,23
CHIRAG ENTERPRISES,23
PRABHA AUTOMOTIVE ENGINEERS PVT LTD,23
TEREX CORPORATION,22
VEANCO AUTOMOTIVES PVT LTD,22
RAMA INDUSTRIES,22
NANYA AIRCONN PVT LTD,22
MAA LUXMI E-VEHICLES PVT. LTD.,22
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),21
ZBEE INDIA PVT LTD,21
LOG 9 MATERIALS SCIENTIFIC PVT LTD,21
SAURYAA SHARYO CORPORATION,21
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),21
MAHINDRA TWO WHEELERS LTD,21
ARIHANT ENTERPRISES,20
TAO POWER PRIVATE LIMITED,20
DUKEMOTO MOTORS PVT LTD,20
FUJIYAMA POWER INFRA PVT. LTD.,20
RENAULT INDIA PVT LTD,20
SHRI SHIVSHANKAR ENTERPRISES,19
EKO VEHICLE PRIVATE LIMITED,19
KARNATAKA SCOOTERS LTD,19
DIWA GREEN TECHNOLOGY PVT LTD,19
"MAYUR ENTERPRISES,BARIPADA",19
SHUBHAM MANUFACTURER,19
VISHWARUP ENTERPRISE,18
TRUZ INDUSTRIES,18
THE COMMERCIAL MOTORS PVT LTD,18
ATR TECHNOSALES PRIVATE LIMITED,18
INDUS ELECTROTHERM INDIA LTD,18
SHRI ABIRAMI TRAILERS,18
ADAPT MOTORS PVT LTD,18
SMAP VEHICLES (IMPORTER: ELEGO MOTORS),17
USHASONS AUTO COMPONENTS,17
WUXI SAIGE (IMPORTER: ELECTRO-TECH),17
MILLENNIAL MOTORS LLP,17
JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),17
MUNDE MECHANICAL WORKS,17
KNIGHT QUEEN INDUSTRIES PVT LTD,17
SCOOTERS INDIA LTD,17
LEOPAN MOTORS PRIVATE LIMITED,17
M K BROTHERS,17
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),17
M/S JASRAJ AUTO AGENCY,17
KRANTI INTERNATIONAL,16
WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),16
GURUKIRPA MOTORS,16
RD AND CO,16
AAKK AUTO PVT LTD,16
KION INDIA PVT LTD,15
SEEKA E MOTORS PVT LTD,15
ENIGMA AUTOMOBILES PVT LTD,15
LAKSHMI AUTO TRADERS,15
SUN MOTORS,15
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),15
BILAL TRAILORS,15
INTERNATIONAL TRACTORS LIMITED,15
MAN TRUCKS INDIA PVT. LTD.,14
RASANDIK MOTORS PVT LTD,14
MOTOVOLT MOBILITY PVT LTD,14
WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),14
WUXI SAIGE (IMPORTER: NGAGE IMPEX),13
JIANGSU SUNHOU (IMPORTER: SABOO TOR),13
EXTRAMILE GAS TECH,13
YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),13
OM. INDUSTRIES,13
UNIC,13
RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,12
KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,12
MACNEILL ENGG LTD,12
LOCAL TRAILER MANUFACTURER,12
GREEN WORLD MOTORS PVT LTD,12
ACTION CONSTRUCTION EQUIPMENT LTD.,12
VINAYAK INDUSTRIES,11
KRISHNA ENGINEERING,11
GEO ALLIANCE,11
NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,11
S.S.AGRO TECH,11
GURJEET AGRO INDUSTRIES,11
DEVAM ELECTRIC VEH P L,11
LIUGONG INDIA PVT. LTD,11
ANTONY TRAILORS,11
CHANGZHOU YEFEND VEHICLE CO,11
MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,11
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),11
SANT ENGG WORKS,11
A.K.AUTO ELECTRICAL,10
GURDEEP ENGINEERING WORKS,10
H. D. AUTOMOTIVES,10
PREET TRACTORS PVT. LTD.,10
RACHANACREATIONS AUTO PVT LTD,10
HOMFEEL VEGH AUTOMOBILES PVT LTD,10
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),10
EICHER TRACTORS,10
SHRIRAM ASTRAL MOTOR CO,10
EYUG AUTOMOBILE PVT LTD,10
GENERAL AGENCIES(KOLKATA) PVT LTD,10
ADITYA ENTERPRISES,10
YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),10
WUXI TENGHUI (IMPORTER: JAIDKA POWER),9
WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),9
TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,9
VEERA VAHANA UDYOG PRIVATE LIMITED,9
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),9
POWERLAND AGRO TRACTOR VEHICLES PVT LTD,9
PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,9
KRANTI AUTOMOBILES LIMITED,9
ASTER AUTOMOTIVE PVT LTD,9
GREAVES INDIA PVT LTD,9
SUPROVA ENTERPRISE,9
S.P. ELECTRONICS,9
LOTIA  MOTORS  LTD,9
JAISWAL INDUSTRIES,8
GARWARE MOTORS LIMITED,8
K. S. INDUSTRIES,8
MOTOROYALE KINETIC PRIVATE LIMITED,8
LAKSHMI AGRO INDUSTRIES,8
UMA AUTO INDUSTRIES PVT LTD,8
ANOOP CYLINDERS PVT LTD,8
ASHLESHA POWER CONTROLS PVT LTD,8
AGRAWAL RENEWABLE ENERGY PVT LTD,8
SHRI CHAMUNDI MOPEDS,8
KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),7
GREEN WAY ECO RIDE,7
S J TRAILORS,7
UNICORN DIGITAL SYSTEMS PVT LTD,7
VITAN JAGADA AUTOMOBILE PVT LTD,7
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),7
JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),7
VOLKSWAGEN INDIA PVT LTD,6
WELCOME E RICKSHAW,6
GENERAL MOTORS INDIA PVT LTD,6
ESCORTS CONSTRUCTION EQUIPMENT LTD,6
VARIOUS INNOVATIVE SYSTEMS HYBRID NANO UTILITIES,6
J.S.AUTO PVT LTD (KANPUR),6
HARSHVIE INDUSTRIES PVT LTD,6
AL-ZAHOOR  CO,6
SUN MOTORS PVT LTD,6
AXCEED INDUSTRIES (OPC) PVT LTD,6
MVM MOTORS PRIVATE LIMITED,6
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),6
CHEVROLET SALES INDIA PVT LTD,6
FRN MOTORS PVT LTD,6
REGENERATION E BIKES,6
"HYUNDAI MOTORS LTD, SOUTH KOREA",6
SUNKU AUTO LTD,6
RASANDIK ENGINEERING,6
JAYATI TOOLS,5
ZHONGXING (IMPORTER:GREENO AUTOMOBILE),5
VENUS AUTO INDUSTRIES,5
OCULUS AUTO INDUSTRIES LLP,5
PORWAL ELECTRIC,5
H.M.S.I. PVT. LTD.,5
ASIA BODY BUILDERS & MANUFACTURERS,5
M/S SRISHTI AUTOMOBILES,5
ANJALI ENTERPRISES,5
ANBU TRAILERS,5
API MOTORS PVT LTD,5
D.K. MOTORS,5
GRINDIA G MOTORS PVT LTD,5
EDDY CURRENT CONTROLS (I) LTD,5
JSS ENGINEERING COMPANY,5
SHRI GANAPATHY ENGG. WORKS,5
GEMAG CONSTRUCTION MACHINARY,5
DUCATI MOTOR HOLDING S.P.A,5
CATERPILLAR INDIA PRIVATE LIMITED,5
VOLTAS LIMITED,5
YANGGUANG LINGMU (IMPORTER: ECOINDIA),5
JAYNA AUTOMOBILES LLP,5
KARUMALAIAN AGRO INDUSTRY,4
KELVINATOR INDIA LTD,4
SHIV TRAILOR INDUSTRIES,4
REDDY AUTOMOTIVE PVT LTD,4
ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),4
MICROAUTOTECH PVT. LTD.,4
SHRI VAIRAMUTHU TRAILERS,4
RAM JANKI ENG. WORK,4
EICHER MOTORS LTD,4
SMITH MOTORS PVT LTD,4
SAME DEUTZ - FAHR INDIA (P) LTD.,4
KUMAR MOTORS PVT LTD,4
H-D MOTOR COMPANY INDIA PVT LTD,4
GILL AGRICULTURE WORKS,4
GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),4
TOYOTA MATERIAL HANDLING INDIA PVT LTD,4
VAUXHALL MOTORS LTD,4
V.T.ENGINEERING,4
CENTURY MOTORS PVT LTD,4
LAUNCHER MATERIAL HANDLING INDUSTRIES,4
HAYASA E-MOBILITY (INDIA) PVT LTD,4
NBC ENGINEERING PVT LTD,4
DASHMESH MECH WORKS PVT LTD,4
CHONGQING YU AN GROUP,3
STANDARD CORPORATION INDIA LTD,3
SSV TECHNOLOGIES,3
MAHALINGA ENGG. INDUSTRIES,3
JEMCO ENGINEERING PVT LTD,3
S E ASIA CO,3
EMOBI MANUFACTURY PRIVATE LIMITED,3
SURYA TRAILORS AND TANKERS,3
D S R AUTOMOTIVES (INDIA) PVT LTD,3
YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),3
A R T WELDING WORKS,3
A D AGRO WORKS,3
DSK MOTOWHEELS PVT LTD.,3
LMV LTD,3
M/S TRISHIKA INDUSTRIES,3
UNIVERSAL LTD,3
MOTOR & GENERAL SALES LTD.,3
KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),3
HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),3
TAFE LIMITED,3
VORC MOTORS PVT LTD,3
FORD INDIA PVT LTD,3
RATHNA ENGINEERING COMPANY,3
CHATELEC VEHICLES INDIA LTD,3
SHRI SAKTHI VINAYAKA TRAILERS,3
MAHINDRA RENAULT PVT.LTD.,3
MAHINDRA NISSAN ALLWYN LTD.,3
SHRI CHINNAMMAN ENGG. WORKS,3
KISAN AGRO INDUSTRIES,3
PONMALAR TRAILERS,3
MACNEILL ENGINEERING LIMITED,3
3GB TECHNOLOGY PVT LTD,3
SIDHI DURGA ENGINEERING,2
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,2
JUNGHEINRICH AG AND CO,2
PRIMA PVT LTD,2
PARAG AGRO,2
DURGA FILTERS PVT LTD,2
ATLAS COPCO INDIA LTD,2
GREAT AUTOMOTIVE LIMITED,2
SHRI KUMAR TRAILERS EQUIPMENTS,2
SHRI MODERN TRAILERS,2
SAKTHI VINAYAKA ENGINEERING WORKS,2
SUN AUTO,2
ECOYAN ELECTRIC MOTORS VEHICLE PVT LTD,2
SUN SHINE ENGINEERING WORKS,2
ARASAN AND CO.,2
INTERNATIONAL CARS & MOTORS LTD,2
DILIP CHHABRIA DESIGN PVT LTD,2
OKA MOTOR COMPANY LTD.,2
YEZDI MOTORS LTD,2
CNH INDUSTRIAL (INDIA) PVT LTD,2
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2
A-1 SUREJA INDUSTRIES,2
DAIMLER AG,2
DAEWOO MOTORS INDIA LTD,2
GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2
SAATHI TRADING CO,2
LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),2
"S M TRACTOR TRALERS, SHAHAPUR",2
M.G.P ENGINEERING WORKS,2
J S AGRO INDUSTRIES,2
AHITESHAM AGRO ENGINEERING,2
AMMAN ENGINEERING COMPANY,2
BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,2
ELGI EQUIPMENTS LTD,2
ASHOK LEYLAND LTD,2
MAULIRAJ INDUSTRIES LLP,2
HITEK ELECTRIC AUTO CO.,2
SMARTOMATIC VEHICLES PRIVATE LIMITED,2
EXPO MACHINERY LTD,2
FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),2
JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),2
MSI INDUSTRIES,2
KAYAMEL MACHINE PRIVATE LTD,2
KATYAYANI AUTOMOTIVE,2
BYD AUTO,2
ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),2
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2
MAC INTERNATIONAL (IMPORTER:HONESTY),2
SHRI VENKATESHWARA TRAILOR,2
SHRI DEVIKA TRAILERS,2
SHRI ANGAMMAL ENGINEERING WORKS,2
REPUBLIC PVT.LTD.,2
CASE EQUIPMENT PRIVATE LTD,2
SHRI BANASHANKARI ENG WORKS,1
JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),1
SHRI ARUPADAYAN TRAILERS,1
"BASUDEB ENGINEERING, CUTTACK",1
BALAMURUGAN ENGINEERING WORKS,1
SHAKTIMAN AGRO INDUSTRIES,1
SHAH AGRO ENGG WORKS,1
BENGAL MOTORS,1
ROLLS ROYCE,1
GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),1
GANAPATI AGRO INDUSTRIES,1
NICOLAS INDUSTRIES,1
SAKTHI VIJAY INDUSTRIES,1
SUNLECTRA AUTO,1
NGAGE IMPEX PVT LTD,1
SRI SAI MARKETING,1
EICHER POLARIS PVT. LTD.,1
SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),1
JEEVAA E-BIKE MFG PVT LTD,1
RAJKAMAL MOTORS LTD,1
MAHARASTRA SCOOTER LIMITED,1
SRI RAMA TRAILERS,1
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,1
CLAAS INDIA P LTD,1
CLENERGY INNOVATIONS PVT LTD,1
JEEVA TRAILERS,1
SHRI RAM INDUSTRIES,1
SIVA ENGINEERING WORKS,1
MAHINDRA GUJARAT TRACTOR LIMITED,1
SINDHU MOTORS,1
SHRI GANESH TRAILER,1
SHRI KANAGA TRAILERS TANKAR,1
SHRI JYOTHI ENG. WORKS.,1
SHRI LAXMI ENGINEERING WORKS,1
MAXI CAB,1
GREAVES COTTON LTD.,1
BAFNA AUTO CARS I PVT.LTD.,1
SIVASAKTHI ENGINEERING WORKS,1
MEGHA TRAILERS,1
MAHINDRA VEHICLE MANUFACTURER LIMITED,1
HMT LIMITED,1
BAJAJ TEMPO LIMITED,1
AUTOCROLA INDIA LTD,1
E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,1
MITHU BAJRANG ENG.WORKS,1
BENTLEY MOTORS LIMITED,1
FORCE MOTORS LIMITED,1
KHAN ENGINEERING WORKS,1
KETRON ELECTRIC VEHICLES PVT LTD,1
WUXI NOOMA (IMPORTER: KKL HITECH EV),1
VISHWAS TRAILER WELD WORK,1
PILLING RIG,1
ABIRAMI ENGINEERING WORKS,1
PORSCHE AG,1
KARTAR AGRO ENGINEERS PVT LTD,1
WIRTGEN INDIA PVT LTD,1
KARTAR AGRO INDUSTRIES PVT LTD,1
DALIAN FORKLIFT CO.,1
EAGLE AUTO PEARL PVT,1
SGL INDUSTRIES,1
MUTHUR AGRO ENGINEERING WORKS,1
"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",1
DHARMAND TRAILERS,1
TAMILNADU MOPEDS LTD,1
TELSA INC,1
ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),1
ELECTROTECH TRANSMISSION PVT LTD,1
PREMIER LTD,1
PAL DIESAL PVT LTD,1
ARBUDA TRAILER,1
K M MOTORS,1
ASAV AUTOMOTIVE PVT LTD,1
ARIHANT ENTERPRISE,1
BSA MOTORS,1
SAN MOTORS LIMITED,1
NEELAM AGRO EQUIP,1
NEW MARTHWADA QUALITY TRAILOR,1
SAGAS AUTOTIC PVT LTD,1
SAHKAR AGRO IND,1
SAGAR AGRO INDUSTRIES,1
DELHI AUTOMOBILES LTD,1
DEEPTI SMART MOBILITY PVT LTD,1
S.M. LTD.,1
RUDRA AUTO INDUSTRIES,1
RAJA ARTS HITECH ENGINEERING,1
RAAJ AUTOMOTIVE,1
M/S UNITY MOTOR BODY,1
HIND AGRO INDUSTRIES,1
HETTRA HET TRAILER,1
GOLD HOFER,1
GOPAL AGROTECH,1
PUNJAB TRACTORS LIMITED,1
PUSHKAR INDUSTRIES,1
R.N.A.I.P.LTD,1
"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",1
ISUZU MOTOR INDIA PVT LTD,1
SARAVANA TRAILER,1
IDEAL JAWA INDIA PVT LTD,1
INDO FARM EQUIPMENT LIMITED,1
AKSMD RECHARGEABLE VEHICLES PVT LTD,1
AKASH TRAILOR,1
UNITED AUTO TRACTORS LTD,1
AGRASEN ENGINEERING WORKS,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,1
AMW MOTORS LIMITED,1
AGRO INDUSTRIES,1
AMAR COACH BUILDERS,1
VIBGYOR  VEHICLES LIMITED,1
L & T CASE EQUIPMENT PVT LTD,1
ETHIRAJ AUTO UDYOG PVT LTD,1
EVERVE MOTORS PVT LTD,1
ESSEL ENERGY INFRA PVT LTD,1
ESCORT JCB LTD,1
KRT MOTORS PVT LTD,1
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,1
HAMPI TRACTORS,1
GURUKRAPA ENGINEERING WORKS,1
KRISHI ENGINEERING WORKS,1
HARJAS AGRO INDUSTRIES,1
GUJARAT TRACTOR CORP LTD,1
AKASH AGRO INDUSTRIES,1
JAI BHAVANI ENGINEERING  WORKS,1
GILL AGROTECH,1
PRAJAPATI ENG. WORKS,1
VINTAGE VEHICLES,1
VIJAYALAKSHIMI ENGG WORKS,1
DUCATI INDIA PVT LTD,1
DIVYA INDUSTRIES,1
GIRNAR SCOOTERS LTD,1
"DIAMOND ENGG,CTC",1
DILIGENT MOBILITY SERVICE PVT LTD,1
JAI AMBE FABRICATION & ENGINEERING WORK,1
JAYANTI AGRO CENTRES,1
JANANI TRAILERS,1
JAY AMBE AGRICULTURE,1
A. K. AUTTO ELECTRICAL,1
ABHAVIS TECHNOLOGY (I) PVT LTD,1
AASHI INDIA AUTOMOBILES PVT LTD,1
A B EXCAVATORS & EARTHMOVER LTD,1
